Order Anno
1. chromosome_number_variation
2. exon_loss_variant
3. frameshift_variant
4. stop_gained
5. stop_lost
6. start_lost
7. splice_acceptor_variant
8. splice_donor_variant
9. rare_amino_acid_variant
10. missense_variant
11. disruptive_inframe_insertion
12. conservative_inframe_insertion
13. disruptive_inframe_deletion
14. conservative_inframe_deletion
15. 5_prime_UTR_truncation+exon_loss_variant
16. 3_prime_UTR_truncation+exon_loss
17. splice_branch_variant
18. splice_region_variant
19. stop_retained_variant
20. initiator_codon_variant
21. synonymous_variant
22. initiator_codon_variant+non_canonical_start_codon
23. stop_retained_variant
24. coding_sequence_variant
25. 5_prime_UTR_variant
26. 3_prime_UTR_variant
27. 5_prime_UTR_premature_start_codon_gain_variant
28. upstream_gene_variant
29. downstream_gene_variant
30. TF_binding_site_variant
31. regulatory_region_variant
32. miRNA
33. custom
34. sequence_feature
35. conserved_intron_variant
36. intron_variant
37. intragenic_variant
38. conserved_intergenic_variant
39. intergenic_region
40. coding_sequence_variant
41. non_coding_exon_variant
42. non_coding_transcript_exon_variant
43. nc_transcript_variant
44. gene_variant
45. chromosome
46. Not_in_Anno_list
